scenario_id,ordering_cost_per_order,annual_holding_rate,stockout_margin_multiplier,old_fill_rate,new_fill_rate,fill_rate_delta_percentage_points,old_avg_inventory,new_avg_inventory,avg_inventory_change_pct,old_stockout_cost,new_stockout_cost,old_holding_cost,new_holding_cost,old_ordering_cost,new_ordering_cost,old_total_cost,new_total_cost,total_cost_savings,total_cost_change_pct
cost_sensitivity_011,25.0,0.35,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,2354999.4590356164,1347682.4636972607,5950.0,10250.0,7778516.379035617,3628895.818697261,4149620.560338356,-53.34719833620544
cost_sensitivity_012,25.0,0.35,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,2354999.4590356164,1347682.4636972607,5950.0,10250.0,9584372.019035615,4385883.60369726,5198488.415338355,-54.239217812221675
cost_sensitivity_013,50.0,0.15,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1009285.4824438357,577578.1987273972,11900.0,20500.0,2827041.1224438353,1355065.9837273974,1471975.1387164379,-52.06769463063166
cost_sensitivity_014,50.0,0.15,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1009285.4824438357,577578.1987273972,11900.0,20500.0,4632896.762443836,2112053.7687273975,2520842.9937164383,-54.41181021238002
cost_sensitivity_015,50.0,0.15,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1009285.4824438357,577578.1987273972,11900.0,20500.0,6438752.4024438355,2869041.553727397,3569710.8487164383,-55.44103306972249
cost_sensitivity_016,50.0,0.15,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1009285.4824438357,577578.1987273972,11900.0,20500.0,8244608.042443836,3626029.338727397,4618578.703716439,-56.01938478990951
cost_sensitivity_017,50.0,0.25,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1682142.4707397257,962630.3312123289,11900.0,20500.0,3499898.110739726,1740118.1162123287,1759779.9945273974,-50.28089215304203
cost_sensitivity_018,50.0,0.25,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1682142.4707397257,962630.3312123289,11900.0,20500.0,5305753.750739725,2497105.9012123286,2808647.8495273967,-52.93588774518261
cost_sensitivity_019,50.0,0.25,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1682142.4707397257,962630.3312123289,11900.0,20500.0,7111609.390739726,3254093.6862123287,3857515.704527397,-54.2425137909065
cost_sensitivity_020,50.0,0.25,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1682142.4707397257,962630.3312123289,11900.0,20500.0,8917465.030739726,4011081.4712123293,4906383.559527397,-55.01993607616535
cost_sensitivity_021,50.0,0.35,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,2354999.4590356164,1347682.4636972607,11900.0,20500.0,4172755.0990356165,2125170.2486972604,2047584.850338356,-49.07033367023102
cost_sensitivity_022,50.0,0.35,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,2354999.4590356164,1347682.4636972607,11900.0,20500.0,5978610.739035618,2882158.0336972596,3096452.705338358,-51.79217782353618
cost_sensitivity_023,50.0,0.35,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,2354999.4590356164,1347682.4636972607,11900.0,20500.0,7784466.379035617,3639145.818697261,4145320.560338356,-53.25118458346918
cost_sensitivity_024,50.0,0.35,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,2354999.4590356164,1347682.4636972607,11900.0,20500.0,9590322.019035615,4396133.60369726,5194188.415338355,-54.16073000498343
cost_sensitivity_025,100.0,0.15,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1009285.4824438357,577578.1987273972,23800.0,41000.0,2838941.1224438353,1375565.9837273974,1463375.1387164379,-51.546512435478974
cost_sensitivity_026,100.0,0.15,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1009285.4824438357,577578.1987273972,23800.0,41000.0,4644796.762443836,2132553.7687273975,2512242.9937164383,-54.0872533762841
cost_sensitivity_027,100.0,0.15,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1009285.4824438357,577578.1987273972,23800.0,41000.0,6450652.4024438355,2889541.553727397,3561110.8487164383,-55.20543700924434
cost_sensitivity_028,100.0,0.15,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1009285.4824438357,577578.1987273972,23800.0,41000.0,8256508.042443836,3646529.338727397,4609978.703716439,-55.834484506260296
cost_sensitivity_029,100.0,0.25,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,1682142.4707397257,962630.3312123289,23800.0,41000.0,3511798.110739726,1760618.1162123284,1751179.9945273977,-49.86562266127903
cost_sensitivity_030,100.0,0.25,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,1682142.4707397257,962630.3312123289,23800.0,41000.0,5317653.750739725,2517605.9012123286,2800047.8495273967,-52.65570081801376
cost_sensitivity_031,100.0,0.25,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,1682142.4707397257,962630.3312123289,23800.0,41000.0,7123509.390739726,3274593.6862123287,3848915.704527397,-54.031173308072454
cost_sensitivity_032,100.0,0.25,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,1682142.4707397257,962630.3312123289,23800.0,41000.0,8929365.030739726,4031581.4712123293,4897783.559527397,-54.8503005831497
cost_sensitivity_033,100.0,0.35,0.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,1805855.64,756987.785,2354999.4590356164,1347682.4636972607,23800.0,41000.0,4184655.0990356165,2145670.2486972604,2038984.850338356,-48.7252784777473
cost_sensitivity_034,100.0,0.35,1.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,3611711.28,1513975.57,2354999.4590356164,1347682.4636972607,23800.0,41000.0,5990510.739035618,2902658.0336972596,3087852.705338358,-51.545733575221945
cost_sensitivity_035,100.0,0.35,1.5,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,5417566.92,2270963.3549999995,2354999.4590356164,1347682.4636972607,23800.0,41000.0,7796366.379035617,3659645.818697261,4136720.560338356,-53.05959673036882
cost_sensitivity_036,100.0,0.35,2.0,0.9702564992428067,0.986544043412418,1.6287544169611312,37315.38043478261,22042.217391304348,-40.92994059157912,7223422.56,3027951.14,2354999.4590356164,1347682.4636972607,23800.0,41000.0,9602222.019035615,4416633.60369726,5185588.415338355,-54.00404619949792
