level,segment,class,MAE,RMSE,WAPE,Bias,MASE,RMSSE,n_obs
sku,SKU0072,AY,4.330740067788658,5.544375030111937,0.3179793186245463,-0.9912004390826155,0.7495963546525133,0.7607016170337979,92
sku,SKU0073,AY,3.232767867221053,4.028002266304652,0.3004188321053908,-0.42328783390723673,0.6409278742346277,0.623351394454361,92
sku,SKU0074,AX,4.905734733016542,6.251242137752334,0.27536766042557775,-0.6204633751905283,0.6442689912854166,0.6500007434582978,92
sku,SKU0076,BZ,3.9570785224887035,4.688921580205586,0.4313403128779155,1.945198529890836,0.8136049298574904,0.7389696737656989,92
sku,SKU0077,AX,3.3789469655391238,4.567591728904073,0.2647897110984663,-0.6844892460193318,0.5736477285827464,0.6057423256195881,92
sku,SKU0078,BZ,3.0994723915150812,3.589818129674556,0.6185498048142895,1.6001963014726517,0.941201040355365,0.863875408208739,92
sku,SKU0079,CZ,2.122986139446863,2.5830356041590257,0.4489993674232446,0.7423968805928681,0.7652345519588127,0.717791211321419,92
sku,SKU0081,CZ,2.516760885464775,2.9697242502250423,0.5499810010991907,1.0738751599208598,0.8130093392033044,0.7606443780294236,92
sku,SKU0082,AX,7.3120546353728715,8.642033105182108,0.311728001137305,-1.5414872454337998,0.7737752292864309,0.7477528003688032,92
sku,SKU0083,AX,6.004504618078746,8.114993515354804,0.25375030999689696,-1.4925511159199714,0.6671671797865274,0.7244023902374719,92
sku,SKU0084,AX,5.35313427422541,6.894033738073831,0.29106876668365117,-0.3996696874302265,0.6914961868709885,0.6966198681350966,92
sku,SKU0085,CZ,3.1948997407346504,3.9355164217026912,0.44806520754205464,1.7157398060757993,0.7968514599643108,0.7771778574018132,92
sku,SKU0087,AY,4.029722614026719,5.066610242346299,0.39024682156890333,-0.12585974393463017,0.7920403659115979,0.7840806312705392,92
sku,SKU0088,CX,7.565217391304348,8.98670515624149,0.4051222351571595,-0.17391304347826086,0.976650889448032,0.9318150980084825,92
sku,SKU0090,AY,3.272422909202035,3.995529063679913,0.3152491179545416,-0.3360403808255125,0.6449817164259803,0.6167882823449399,92
sku,SKU0091,AX,3.8789594120271498,4.8516580637079425,0.27989354188744925,-0.6143021002904906,0.6574856814222426,0.6670580594873402,92
sku,SKU0092,BZ,2.663297186329543,3.226744400168175,0.5126011320968995,1.2790192168505063,0.816522635693536,0.7812689955803777,92
sku,SKU0093,AX,4.2140811711097035,5.307146062424769,0.26960741845764447,-0.422077198086029,0.6129921995367056,0.608922121416708,92
sku,SKU0094,AY,5.549590296108947,6.8174608729597015,0.3311039605979398,-0.5624159678596251,0.766040374062637,0.7477771322970485,92
sku,SKU0095,AY,4.563511758563423,5.996409497363226,0.2640522526967515,0.39389874923251006,0.5613110665053911,0.5958011603031188,92
sku,SKU0096,CZ,3.1380924405532227,3.8797564232297166,0.44760388299363796,1.924518698076729,0.7312282604357034,0.7057302950683323,92
sku,SKU0097,AX,5.432981081938289,6.775029224673787,0.3079693527654483,-0.18288628984288902,0.7260665962037345,0.7214884248619458,92
sku,SKU0100,AY,3.843621572090446,4.865041310648465,0.31155346663640615,-0.6575362105937306,0.6297459072916549,0.6210245995716013,92
sku,SKU0101,BZ,3.3168936707985384,3.901167481395493,0.48591435941634636,1.8529547273964235,0.8602350251908405,0.809432863383461,92
sku,SKU0102,AX,4.472547029958994,5.466742577556729,0.3411893256685137,0.09263956651081144,0.6760210862624587,0.6541848570184686,92
sku,SKU0103,AY,3.0036580989954174,3.7561092196904338,0.4199643542668365,0.18930455602699522,0.6923171485401286,0.6855179166399833,92
sku,SKU0104,CZ,2.3412536746365884,2.8931010602899856,0.4997571648876244,0.9491535810702495,0.7059167506702001,0.6813174421672074,92
sku,SKU0105,AX,3.903833373315515,4.683361702235112,0.3096143709870926,-0.6000588115989202,0.6291097984782265,0.6080200310220125,92
sku,SKU0106,AX,4.149858865094191,5.510483283392254,0.2482360309419152,-0.1588654979835945,0.56669733645764,0.6021650843189544,92
sku,SKU0107,AY,2.9845088330634333,3.6343438621305424,0.3268747769545665,-0.47766937039971713,0.613835150062692,0.5894468732098841,92
sku,SKU0108,BZ,2.770503255307918,3.2131927284981714,0.5027343185174131,0.9957868809220318,0.8187036020780231,0.7566652743392437,92
sku,SKU0109,AX,4.172897182876091,5.514973569072145,0.3151942042894913,-0.3054808878143394,0.6793336061941684,0.7112835768841014,92
sku,SKU0111,BZ,3.2338751185267514,3.8607729379862006,0.4126442592294884,1.023374478368966,0.7824089213576289,0.7397708242152661,92
sku,SKU0112,CZ,2.302964824328542,2.8644605655446442,0.4146238039887003,1.1411117181515202,0.6687717605469321,0.6476322924421581,92
sku,SKU0114,AZ,2.352000447693695,2.954286456680117,0.402949797370242,0.8152653967328886,0.7149005648540149,0.6949717052857524,92
sku,SKU0117,AX,5.5399261579262005,7.005056550810988,0.2952915449184301,-1.105805149117818,0.7329889856401733,0.7252302840242586,92
sku,SKU0118,AX,5.450669390323361,6.609686011295439,0.25048031164323137,-0.7533575400011907,0.5742283802883594,0.5533912601419958,92
sku,SKU0119,AY,5.4260591017833475,6.812876831373225,0.3038328894486111,-0.18317857095888848,0.6775936008881925,0.6724448895656217,92
sku,SKU0120,AY,4.531569599827223,5.541792548319825,0.3327249825890698,-0.42726199644394924,0.7434151207739182,0.713886837951907,92
sku,SKU0121,AY,6.557942932682203,8.085103753516766,0.29927120526129103,-1.083813015788044,0.6829852417648132,0.6676530391249437,92
sku,SKU0122,CX,5.9021739130434785,7.8622654108917205,0.34454314720812185,-0.03260869565217391,0.8261489593070951,0.865023708963665,92
sku,SKU0123,AX,7.382387264796029,9.38927321895662,0.33523180077059955,-0.8754588415282446,0.7853865390928576,0.7947896066590747,92
sku,SKU0124,AY,7.199467449915784,9.063857491567095,0.3193592118574022,-1.4015355933333304,0.78143249966762,0.7810999387478388,92
sku,SKU0125,AY,5.0771633066767246,6.147407419799718,0.320589584223925,-0.5453551227234916,0.6922911283735308,0.6695824325627177,92
sku,SKU0127,BZ,3.5945418711694885,4.355899666542897,0.5377200847928341,1.979128470366929,0.8793396141894685,0.854674496386357,92
sku,SKU0128,AX,5.2411786508087586,6.403835932515724,0.32981425162408057,-0.460372629848764,0.7365356782414071,0.7142096588909382,92
sku,SKU0129,CZ,2.516313848048182,3.177605703005496,0.44433948948259644,0.9204385974655479,0.7722021332634632,0.7546080816437768,92
sku,SKU0130,BZ,2.1742846271794694,2.600339267138479,0.4751405836116655,1.0632770417101778,0.7132100730799493,0.6521644792119218,92
sku,SKU0131,BZ,2.2270700365762113,2.7805610547100246,0.3932638068426323,0.989211633407293,0.679517304321197,0.6679194957730796,92
sku,SKU0133,AY,3.4976605963778953,4.536719738992435,0.30443214273109404,-0.5063719673781322,0.634491743101819,0.6487568454055336,92
sku,SKU0134,AX,6.463135366423377,8.22786498422581,0.27502703686907987,-1.3648009245463002,0.7148891060641669,0.7337453123670702,92
sku,SKU0136,AY,5.24137942020032,6.668528712924321,0.2960140617915466,-0.48816771156991323,0.6417194530968728,0.6536223506983674,92
sku,SKU0137,AY,2.8307250838082605,3.443338024796273,0.3829804525152352,0.343651650316111,0.6748888652726719,0.6470815169370504,92
sku,SKU0139,BZ,3.0416402232629576,3.7073652930580705,0.5563238579327875,1.1833783188456517,0.8804748014708561,0.8371674833043254,92
sku,SKU0142,AX,5.87772346608383,7.53219604696323,0.3091769919266509,-0.9702081493734644,0.7763949423108661,0.8034071574086381,92
sku,SKU0143,BZ,4.100328270826509,4.862859228591381,0.4799366423868178,2.545104074133731,0.8855820706795237,0.8215318659996088,92
sku,SKU0144,AY,6.57286748054776,8.245571480009946,0.3040240363048738,-1.022615311799447,0.6974038670529638,0.7009192111919987,92
sku,SKU0145,CZ,3.652455072839656,4.541893435197597,0.38315378187143484,1.6899792606854105,0.7647739863707583,0.7537891398204013,92
sku,SKU0147,AX,5.584584907279119,6.748870668494356,0.3282950872010728,-0.743350343757168,0.764420761820227,0.7244363963445729,92
sku,SKU0150,AY,4.10922788701727,4.915423120465862,0.32065221849498626,-0.7120626420958172,0.7053234845082105,0.664188196240227,92
